harmonyNb,expected,actural,offset,E
3,0.333333333,0.3335,0.000166667,0.0005
5,0.388730126,0.3889,0.000169874,0.000436996
7,0.414148855,0.4145,0.000351145,0.000847871
9,0.428794768,0.4293,0.000505232,0.00117826
11,0.438325696,0.4389,0.000574304,0.001310221
13,0.445024242,0.4456,0.000575758,0.001293768
15,0.449990023,0.4506,0.000609977,0.001355535
17,0.453818497,0.4546,0.000781503,0.001722061
19,0.456860275,0.4577,0.000839725,0.001838034
21,0.459335264,0.4602,0.000864736,0.001882581
23,0.461388387,0.4624,0.001011613,0.00219254
25,0.463119039,0.4642,0.001080961,0.00233409
f_wave=1.015kHz FFT_LEN=4096 sampleRate=102.389kHz resolution=10bit,,,,
